V_ID,Item,Level,Item_No,Variable,Code,Contents
1,3 major metroplotan areas,1,1,3City,"0, 1",
3,Persons per household,1,2,T_SeJinin,"2, 3",2 people
5,Number of workers,1,3,T_SyuJinin,"1, 2",one  or less
7,Type of tenure of dwelling,1,4,T_JuSyoyu,"1, 2",Owned houses
9,Employment or not,1,5,T_Syuhi,"1, 2",Employment / Unemployment
11,Age group of workers' household head,1,6,T_Age_5s,"1-9, 0",
21,Age group of non-employment,1,7,T_Age_65,"1, 2",<= 65 / >65
23,Weight,1,8,Weight,>0,Weight
24,Yearly income (thousand yen),1,9,Y_Income,>0,Unit:thousand yen
25,Living expenditure,1,10,L_Expenditure,>0,Unit:yen
26,Food,1,11,Food,>0,Unit:yen
27,Housing,1,12,Housing,>0,Unit:yen
28,"Fuel, light and water charges     ",1,13,LFW,>0,Unit:yen
29,Furniture and household utensils      ,1,14,Furniture,>0,Unit:yen
30,Clothes and footwear,1,15,Clothes,>0,Unit:yen
31,Medical care        ,1,16,Health,>0,Unit:yen
32,Transportation and communication       ,1,17,Transport,>0,Unit:yen
33,Education         ,1,18,Education,>0,Unit:yen
34,Reading and recreation       ,1,19,Recreation,>0,Unit:yen
35,Other living expenditure,1,20,OL_Expenditure,>0,Unit:yen
37,Food,2,21,E001,>0,Unit:yen
38,Cereals,3,22,E002,>0,Unit:yen
39,Rice,4,23,E003,>0,Unit:yen
40,Bread,4,24,E004,>0,Unit:yen
41,Noodles,4,25,E005,>0,Unit:yen
42,Other cereals,4,26,E006,>0,Unit:yen
43,Fish and shellfish,3,27,E007,>0,Unit:yen
44,Fresh fish and shellfish,4,28,E008,>0,Unit:yen
45,Salted and dried fish,4,29,E009,>0,Unit:yen
46,Fishpaste products,4,30,E010,>0,Unit:yen
47,Other processed fish,4,31,E011,>0,Unit:yen
48,Meat,3,32,E012,>0,Unit:yen
49,Fresh meat,4,33,E013,>0,Unit:yen
50,Beef,5,34,E014,>0,Unit:yen
51,Pork,5,35,E015,>0,Unit:yen
52,Chicken,5,36,E016,>0,Unit:yen
53,Mixed ground meat       ,5,37,E017,>0,Unit:yen
54,Other fresh meat       ,5,38,E018,>0,Unit:yen
55,Meat products        ,4,39,E019,>0,Unit:yen
56,Ham and sausages       ,5,40,E020,>0,Unit:yen
57,Other meat products       ,5,41,E021,>0,Unit:yen
58,Dairy products and eggs      ,3,42,E022,>0,Unit:yen
59,Fresh milk        ,4,43,E023,>0,Unit:yen
60,Dairy products        ,4,44,E024,>0,Unit:yen
